division,death
40.0,72.0
24.0,280.0
24.0,120.0
24.0,72.0
24.0,168.0
24.0,200.0
7.83333333333333,72.0
40.0,165.666666666667
24.0,64.0833333333333
7.83333333333333,156.5
24.0833333333333,55.9166666666667
20.8333333333333,99.75
7.83333333333333,65.1666666666667
24.0833333333333,191.916666666667
24.0,95.9166666666667
7.83333333333333,95.9166666666667
24.0833333333333,186.166666666667
24.0,47.4166666666667
40.0,178.333333333333
127.833333333333,154.333333333333
36.5833333333333,152.583333333333
72.0,156.0
96.0,80.6666666666667
41.6666666666667,59.6666666666667
22.3333333333333,119.916666666667
48.0,85.6666666666667
24.0,19.3333333333333
72.0,119.916666666667
22.3333333333333,73.6666666666667
48.0,90.1666666666667
27.3333333333333,222.166666666667
27.3333333333333,64.4166666666667
48.0,47.9166666666667
24.0,155.916666666667
40.0,139.166666666667
21.5,217.416666666667
27.0,133.416666666667
46.6666666666667,82.0
46.6666666666667,94.0
46.3333333333333,103.583333333333
2.33333333333333,115.583333333333
25.0,310.416666666667
19.8333333333333,89.25
48.0,131.0
7.83333333333333,257.25
88.1666666666667,57.0
7.83333333333333,97.4166666666667
48.0,236.333333333333
79.9166666666667,239.5
24.0,349.0
31.5,203.833333333333
18.4166666666667,111.916666666667
28.8333333333333,112.083333333333
34.6666666666667,148.0
27.8333333333333,137.166666666667
2.41666666666667,44.0
32.0833333333333,130.916666666667
24.5833333333333,83.9166666666667
25.4166666666667,72.0
41.9166666666667,72.0
18.4166666666667,69.5
26.4166666666667,69.5
31.3333333333333,48.0
73.8333333333333,72.0
28.8333333333333,96.0
27.4166666666667,11.9166666666667
166.5,145.833333333333
22.4166666666667,145.833333333333
37.5833333333333,192.0
39.0,
22.8333333333333,
21.75,
25.0833333333333,
45.0,
30.25,
22.0833333333333,
35.25,
-5.0,
22.25,
126.333333333333,
22.25,
24.75,
54.25,
7.5,
22.25,
30.0833333333333,
24.0,
30.0833333333333,
26.3333333333333,
24.0,
88.9166666666667,
35.0833333333333,
-12.0,
34.5,
28.75,
33.1666666666667,
23.5833333333333,
22.6666666666667,
29.1666666666667,
17.8333333333333,
50.5833333333333,
52.5833333333333,
64.9166666666667,
28.75,
47.3333333333333,
60.1666666666667,
50.8333333333333,
28.8333333333333,
149.833333333333,
42.25,
91.5833333333333,
16.4166666666667,
30.8333333333333,
24.5833333333333,
7.58333333333333,
16.25,
10.0,
61.8333333333333,
22.3333333333333,
24.0,
2.08333333333334,
24.0,
218.166666666667,
24.0,
24.0,
55.9166666666667,
22.3333333333333,
11.1666666666667,
12.8333333333333,
30.8333333333333,
28.3333333333333,
13.8333333333333,
47.0,
24.0,
100.0,
1.0,
21.6666666666667,
49.8333333333333,
48.0,
21.6666666666667,
24.0,
24.0,
26.5,
24.0,
24.0,
24.0,
24.0,
24.0,
96.0,
24.0,
99.3333333333333,
106.75,
24.0,
24.0,
250.833333333333,
24.0,
40.0,
24.0,
24.0,
24.0,
24.0,
24.0,
7.83333333333333,
40.0,
24.0,
7.83333333333333,
24.0833333333333,
20.8333333333333,
7.83333333333333,
24.0833333333333,
24.0,
7.83333333333333,
24.0833333333333,
24.0,
40.0,
127.833333333333,
36.5833333333333,
72.0,
96.0,
41.6666666666667,
22.3333333333333,
48.0,
24.0,
72.0,
22.3333333333333,
48.0,
27.3333333333333,
27.3333333333333,
48.0,
24.0,
40.0,
21.5,
27.0,
46.6666666666667,
46.6666666666667,
46.3333333333333,
2.33333333333333,
25.0,
19.8333333333333,
48.0,
7.83333333333333,
88.1666666666667,
7.83333333333333,
48.0,
79.9166666666667,
24.0,
31.5,
18.4166666666667,
28.8333333333333,
34.6666666666667,
27.8333333333333,
2.41666666666667,
32.0833333333333,
24.5833333333333,
25.4166666666667,
41.9166666666667,
18.4166666666667,
26.4166666666667,
31.3333333333333,
73.8333333333333,
28.8333333333333,
27.4166666666667,
166.5,
22.4166666666667,
37.5833333333333,
